filename,description
logo.png,Mascot mail carrier dog with mailbag presenting a neural network scroll
analyzing-dashboard.png,Dog giving thumbs up next to an analytics dashboard with charts and trends
studying-network.png,Dog pointing at an open book showing a neural network diagram
sorting-emails.png,Dog sorting through a box full of email envelopes
tuning-controls.png,Dog adjusting sliders and gauges on a control panel
classifying-messages.png,Dog in lab coat categorizing emails into color-coded bins
training-progress.png,Training curve chart with neural network icon and pulley lifting a data point
thinking-ml.png,Dog wearing a thinking cap with thought bubbles about ML concepts
maintaining-server.png,Dog inserting a chip into a server rack
reviewing-checklist.png,Dog holding a clipboard checklist next to a neural network icon
verifying-results.png,Dog presenting a completed checklist with approved items
building-model.png,Dog with a wrench working on a neural network model
celebrating-success.png,Dog proudly holding a trophy and certificate with sparkles
